camera,pose,point_label,frame,u,v
cam1,pose1,0.0m,0,82,200
cam1,pose1,0.5m,0,84,151
cam1,pose1,1.0m,0,85,101
cam1,pose1,1.5m,0,86,53
cam1,pose2,0.0m,75828,256,207
cam1,pose2,0.5m,75828,257,157
cam1,pose2,1.0m,75828,258,110
cam1,pose2,1.5m,75828,260,65
cam1,pose3,0.0m,102555,339,210
cam1,pose3,0.5m,102555,341,161
cam1,pose3,1.0m,102555,341,113
cam1,pose3,1.5m,102555,343,67
cam1,pose4,0.0m,106284,315,88
cam1,pose4,0.5m,106284,277,89
cam1,pose4,1.0m,106284,237,90
cam1,pose4,1.5m,106284,196,93
cam1,pose5,0.0m,60290,211,211
cam1,pose5,0.5m,60290,213,160
cam1,pose5,1.0m,60290,214,110
cam1,pose5,1.5m,60290,215,62
cam2,pose1,0.0m,0,156,218
cam2,pose1,0.5m,0,154,162
cam2,pose1,1.0m,0,153,106
cam2,pose1,1.5m,0,151,48
cam2,pose2,0.0m,75828,330,232
cam2,pose2,0.5m,75828,329,173
cam2,pose2,1.0m,75828,328,116
cam2,pose2,1.5m,75828,327,57
cam2,pose3,0.0m,102555,421,236
cam2,pose3,0.5m,102555,420,176
cam2,pose3,1.0m,102555,419,118
cam2,pose3,1.5m,102555,417,57
cam2,pose4,0.0m,106284,299,91
cam2,pose4,0.5m,106284,240,93
cam2,pose4,1.0m,106284,180,96
cam2,pose4,1.5m,106284,122,99
cam2,pose5,0.0m,60290,122,243
cam2,pose5,0.5m,60290,121,182
cam2,pose5,1.0m,60290,120,122
cam2,pose5,1.5m,60290,120,65
cam3,pose1,0.0m,0,305,213
cam3,pose1,0.5m,0,303,156
cam3,pose1,1.0m,0,302,99
cam3,pose1,1.5m,0,301,41
cam3,pose2,0.0m,75828,389,231
cam3,pose2,0.5m,75828,389,170
cam3,pose2,1.0m,75828,388,110
cam3,pose2,1.5m,75828,387,51
cam3,pose3,0.0m,102555,434,237
cam3,pose3,0.5m,102555,435,177
cam3,pose3,1.0m,102555,434,115
cam3,pose3,1.5m,102555,434,52
cam3,pose4,0.0m,106284,295,83
cam3,pose4,0.5m,106284,252,84
cam3,pose4,1.0m,106284,209,86
cam3,pose4,1.5m,106284,165,89
cam3,pose5,0.0m,60290,151,229
cam3,pose5,0.5m,60290,150,169
cam3,pose5,1.0m,60290,150,109
cam3,pose5,1.5m,60290,150,50
cam4,pose1,0.0m,0,465,202
cam4,pose1,0.5m,0,463,140
cam4,pose1,1.0m,0,462,78
cam4,pose1,1.5m,0,460,16
cam4,pose2,0.0m,75828,452,224
cam4,pose2,0.5m,75828,450,159
cam4,pose2,1.0m,75828,449,92
cam4,pose2,1.5m,75828,448,26
cam4,pose3,0.0m,102555,445,231
cam4,pose3,0.5m,102555,444,164
cam4,pose3,1.0m,102555,444,97
cam4,pose3,1.5m,102555,443,29
cam4,pose5,0.0m,60290,232,214
cam4,pose5,0.5m,60290,231,151
cam4,pose5,1.0m,60290,230,87
cam4,pose5,1.5m,60290,230,24
cam5,pose1,0.0m,0,427,196
cam5,pose1,0.5m,0,427,159
cam5,pose1,1.0m,0,427,123
cam5,pose1,1.5m,0,426,86
cam5,pose2,0.0m,75828,320,207
cam5,pose2,0.5m,75828,319,169
cam5,pose2,1.0m,75828,318,131
cam5,pose2,1.5m,75828,318,94
cam5,pose3,0.0m,102555,264,210
cam5,pose3,0.5m,102555,264,171
cam5,pose3,1.0m,102555,263,134
cam5,pose3,1.5m,102555,263,95
cam5,pose4,0.0m,106284,255,109
cam5,pose4,0.5m,106284,275,109
cam5,pose4,1.0m,106284,295,109
cam5,pose4,1.5m,106284,313,109
cam5,pose5,0.0m,60290,297,193
cam5,pose5,0.5m,60290,296,158
cam5,pose5,1.0m,60290,297,122
cam5,pose5,1.5m,60290,297,87
cam6,pose1,0.0m,0,414,247
cam6,pose1,0.5m,0,414,191
cam6,pose1,1.0m,0,412,137
cam6,pose1,1.5m,0,412,81
cam6,pose2,0.0m,75828,222,256
cam6,pose2,0.5m,75828,221,201
cam6,pose2,1.0m,75828,219,147
cam6,pose2,1.5m,75828,219,91
cam6,pose3,0.0m,102555,127,257
cam6,pose3,0.5m,102555,126,201
cam6,pose3,1.0m,102555,124,147
cam6,pose3,1.5m,102555,124,93
cam6,pose4,0.0m,106284,208,116
cam6,pose4,0.5m,106284,262,116
cam6,pose4,1.0m,106284,320,117
cam6,pose4,1.5m,106284,366,117
cam6,pose5,0.0m,60290,361,244
cam6,pose5,0.5m,60290,359,191
cam6,pose5,1.0m,60290,358,138
cam6,pose5,1.5m,60290,356,85
